participante,video,ms_vmax,std_saccade_amplitude,std_saccade_peak_velocity,ms_c,mean_fixation_duration,mean_saccade_duration,mean_saccade_q_ratio
Rodelo,Rodelo_9_puntos_intento_3,500.6662958339297,3.247682819110751,71.69872955872839,9.417911552804753,0.052692319230769204,0.018933578544061327,1.067766903775803
Rodelo,Rodelo_9_puntos_intento_4,510.50912094905027,3.485586058852456,80.43356721604317,8.846429802050435,0.047673731448763336,0.01826241489361694,1.0707032038998654
Rodelo,Rodelo_9_puntos_intento_5,453.12051621837725,2.9779720784572628,77.13258968713964,8.211987506687384,0.0495646641791044,0.019993794776119483,1.0977985513134132
Rodelo,Rodelo_9_puntos_intento_6,463.1374088867896,3.095318403499745,67.01132262985514,8.731258646777825,0.04858091304347827,0.018961358695652176,1.0658019611248883
Rodelo,Rodelo_9_puntos_intento_7,469.12159793388975,2.4765866650399175,61.440647643841324,8.936484149223649,0.04733920701754382,0.01797783216783221,1.0650976256623599
Rodelo,Rodelo_9_puntos_intento_8,617.0307749035112,5.318187926779084,101.1290541480342,13.598351977376003,0.03729038050314465,0.021331213836477982,1.1027905942505287
Rodelo,Rodelo_9_puntos_intento_9,572.6987520766353,2.7814910977076295,64.19499475403576,13.305346267910146,0.02193306053268759,0.023168227053140155,1.1371212565326048
Roygel,Roygel_9_puntos_intento_10,496.87062132990746,3.9181722934953007,84.13207705001989,9.242085188776649,0.038511330097087376,0.021888525974025977,1.1221081627929184
Roygel,Roygel_9_puntos_intento_1,618.0740325110482,3.9282031349968043,87.81586994684929,11.158414414762815,0.03639559939759033,0.01969467867867871,1.1212459461680724
Roygel,Roygel_9_puntos_intento_2,532.2340172082331,4.492039816063816,98.91738393092673,8.757391339614964,0.029387095238095313,0.02000445092838189,1.1253595361741968
Roygel,Roygel_9_puntos_intento_3,720.684835434865,6.064729597668497,119.30286086135543,15.141602717495298,0.0341129258064517,0.025937813504823066,1.1955025838678917
Roygel,Roygel_9_puntos_intento_4,572.6887868613342,4.4113053262165245,91.6430312389179,11.02213224968708,0.04229451027397255,0.021575352739726078,1.128966308864826
Roygel,Roygel_9_puntos_intento_5,545.5918199918176,4.1904816977235875,83.6802529753371,10.265165967452786,0.039623706451612874,0.0205770809061489,1.1194579360488828
Roygel,Roygel_9_puntos_intento_6,579.2353152672584,4.238918777345703,89.75410263647073,10.80737746447953,0.041722865319865354,0.02097307382550332,1.1266599984877606
Roygel,Roygel_9_puntos_intento_7,562.1973193770325,4.266474565327136,89.9267436991767,10.200274744992491,0.030022521621621577,0.020415539295392998,1.122694339503459
Roygel,Roygel_9_puntos_intento_8,527.4942723192329,3.893502564159679,80.03734702134746,9.51707628118726,0.04144443333333334,0.020694456666666656,1.1338981367099776
Roygel,Roygel_9_puntos_intento_9,486.1274978132585,4.319166194080719,78.24416332631732,9.089517046161495,0.04683700364963504,0.021198277372262764,1.1207496789933753
Samir,Samir_9_puntos_intento_10,375.5631340089768,3.4513183997736223,55.330467137148595,7.685391125879071,0.031766410256410305,0.021404734285714235,1.0953672866036062
Samir,Samir_9_puntos_intento_1,450.35347453759505,3.6771056058433382,58.42679243593631,10.340543237197151,0.03203811436950142,0.022563362573099457,1.0916994290730173
Samir,Samir_9_puntos_intento_2,420.12481398268375,4.480432977349894,86.57984099757829,6.558392914986161,0.029314297002724844,0.02153912568306006,1.118150960569294
Samir,Samir_9_puntos_intento_3,422.2532265144872,3.173656349525805,56.13142968557081,9.415535723108244,0.030672299719887997,0.02148507262569828,1.0929441786637586
Samir,Samir_9_puntos_intento_4,426.09704576660204,4.042357426990153,62.80454233116298,9.455399891829588,0.03470947400611616,0.022341521472392687,1.1011411039435046
Samir,Samir_9_puntos_intento_5,488.13470910298065,3.234598454928958,64.79090692469427,11.250368325362276,0.028854999999999995,0.022847255555555553,1.1213139837810138
Samir,Samir_9_puntos_intento_6,415.05959707140727,3.26071240096506,62.226191509319044,8.460921036190483,0.029596116991643485,0.022330532033426158,1.1132419076696953
Samir,Samir_9_puntos_intento_7,418.6391771455191,3.8834176433511653,88.40915805522408,6.502086299067064,0.03009917847025498,0.02277459374999997,1.1478934973608987
