Tiempo_s,Frame_Index,EAR_Crudo,EAR_Suavizado,Velocidad_dEAR_dt,Aceleracion_d2EAR_dt2,Blink_Detectado
8.266667,248,0.241139,0.241560,-0.000809,0.001062,False
8.300000,249,0.242605,0.243315,0.001756,0.002564,False
8.333333,250,0.247098,0.245787,0.002471,0.000716,False
8.366667,251,0.247756,0.247567,0.001780,-0.000691,False
8.400000,252,0.246825,0.247218,-0.000348,-0.002128,False
8.433333,253,0.246380,0.245350,-0.001868,-0.001520,False
8.466667,254,0.241803,0.242897,-0.002453,-0.000585,False
8.500000,255,0.241248,0.240435,-0.002463,-0.000010,False
8.533333,256,0.238443,0.239401,-0.001034,0.001429,False
8.566667,257,0.238921,0.239535,0.000134,0.001168,False
8.600000,258,0.241672,0.240329,0.000793,0.000659,False
8.633333,259,0.240182,0.240891,0.000562,-0.000231,False
8.666667,260,0.241788,0.240361,-0.000529,-0.001091,False
8.700000,261,0.238806,0.240488,0.000127,0.000656,False
8.733333,262,0.239812,0.240558,0.000070,-0.000057,False
8.766667,263,0.242736,0.239810,-0.000749,-0.000819,False
8.800000,264,0.238204,0.239398,-0.000412,0.000337,False
8.833333,265,0.237916,0.239161,-0.000237,0.000175,False
8.866667,266,0.238919,0.238840,-0.000321,-0.000084,False
8.900000,267,0.241283,0.239414,0.000574,0.000895,False
8.933333,268,0.239101,0.240095,0.000680,0.000106,False
8.966667,269,0.239215,0.240157,0.000062,-0.000618,False
9.000000,270,0.242192,0.241200,0.001043,0.000980,False
9.033333,271,0.241104,0.242173,0.000973,-0.000069,False
9.066667,272,0.244145,0.241552,-0.000621,-0.001594,False
9.100000,273,0.239620,0.241004,-0.000548,0.000073,False
9.133333,274,0.239211,0.241327,0.000323,0.000871,False
9.166667,275,0.243274,0.241444,0.000117,-0.000205,False
9.200000,276,0.242573,0.241634,0.000190,0.000072,False
9.233333,277,0.240966,0.241108,-0.000526,-0.000715,False
9.266667,278,0.238383,0.240346,-0.000762,-0.000237,False
9.300000,279,0.241344,0.240481,0.000135,0.000897,False
9.333333,280,0.242329,0.241446,0.000966,0.000831,False
9.366667,281,0.241718,0.242528,0.001082,0.000116,False
9.400000,282,0.243243,0.243074,0.000545,-0.000537,False
9.433333,283,0.243620,0.243731,0.000658,0.000113,False
9.466667,284,0.245241,0.244754,0.001022,0.000364,False
9.500000,285,0.245100,0.246011,0.001258,0.000235,False
9.533333,286,0.246838,0.247059,0.001047,-0.000210,False
9.566667,287,0.247993,0.246274,-0.000785,-0.001832,False
9.600000,288,0.245143,0.244914,-0.001360,-0.000575,False
9.633333,289,0.241050,0.242821,-0.002093,-0.000733,False
9.666667,290,0.242023,0.241731,-0.001091,0.001002,False
9.700000,291,0.241719,0.241169,-0.000562,0.000529,False
9.733333,292,0.243281,0.242884,0.001716,0.002278,False
9.766667,293,0.241862,0.244508,0.001623,-0.000092,False
9.800000,294,0.248886,0.246512,0.002004,0.000381,False
9.833333,295,0.247257,0.247063,0.000551,-0.001453,False
9.866667,296,0.247129,0.247032,-0.000030,-0.000581,False
9.900000,297,0.243980,0.244814,-0.002218,-0.002188,False
9.933333,298,0.244767,0.244572,-0.000243,0.001975,False
9.966667,299,0.243439,0.244065,-0.000506,-0.000264,False
10.000000,300,0.246226,0.245005,0.000939,0.001446,False
10.033333,301,0.243716,0.244876,-0.000128,-0.001068,False
10.066667,302,0.246745,0.245837,0.000960,0.001089,False
10.100000,303,0.243994,0.244751,-0.001086,-0.002046,False
10.133333,304,0.247100,0.245491,0.000741,0.001827,False
10.166667,305,0.242001,0.244263,-0.001228,-0.001969,False
10.200000,306,0.247982,0.248112,0.003849,0.005077,False
10.233333,307,0.243551,0.250052,0.001940,-0.001908,False
10.266667,308,0.252057,0.239756,-0.010296,-0.012237,False
10.300000,309,0.224160,0.211675,-0.028081,-0.017784,False
10.333333,310,0.179141,0.193576,-0.018099,0.009982,True
10.366667,311,0.166581,0.189587,-0.003989,0.014110,True
10.400000,312,0.222781,0.204477,0.014890,0.018879,True
10.433333,313,0.235371,0.226671,0.022194,0.007304,False
10.466667,314,0.235373,0.240623,0.013952,-0.008242,False
