Frame,Tiempo(s),EAR_Original,EAR_Mejorado,Diferencia
416,13.86,0.134859,0.106154,0.028705
417,13.90,0.174785,0.136061,0.038724
418,13.93,0.216558,0.166893,0.049664
419,13.96,0.246895,0.189599,0.057296
420,14.00,0.267924,0.205232,0.062692
421,14.03,0.274586,0.210219,0.064367
422,14.06,0.284972,0.217947,0.067024
423,14.10,0.288655,0.220678,0.067977
424,14.13,0.295054,0.225388,0.069665
425,14.16,0.299963,0.229105,0.070858
426,14.20,0.302777,0.231201,0.071577
427,14.23,0.304146,0.232216,0.071930
428,14.26,0.308677,0.235599,0.073078
429,14.30,0.312001,0.238133,0.073868
430,14.33,0.313661,0.239407,0.074254
431,14.36,0.314093,0.239719,0.074374
432,14.40,0.314635,0.240106,0.074529
433,14.43,0.314657,0.240064,0.074593
434,14.46,0.315645,0.240854,0.074791
435,14.50,0.316033,0.241090,0.074943
436,14.53,0.314647,0.240075,0.074572
437,14.56,0.314294,0.239821,0.074473
438,14.60,0.314704,0.240138,0.074566
439,14.63,0.313914,0.239531,0.074382
440,14.66,0.312948,0.238801,0.074148
441,14.70,0.313401,0.239205,0.074196
442,14.73,0.316684,0.241705,0.074978
443,14.76,0.315456,0.240875,0.074581
444,14.80,0.314443,0.240140,0.074303
445,14.83,0.313197,0.239209,0.073988
446,14.86,0.313807,0.239658,0.074149
447,14.90,0.316287,0.241460,0.074827
448,14.93,0.316343,0.241574,0.074769
449,14.96,0.313217,0.239208,0.074009
450,15.00,0.318802,0.243412,0.075391
451,15.03,0.316595,0.241735,0.074861
452,15.06,0.315275,0.240720,0.074554
453,15.10,0.313658,0.239405,0.074253
454,15.13,0.312626,0.238613,0.074013
455,15.16,0.315340,0.240621,0.074720
456,15.20,0.313742,0.239428,0.074314
457,15.23,0.289991,0.221674,0.068317
458,15.26,0.194963,0.151188,0.043774
459,15.30,0.053142,0.044833,0.008310
460,15.33,0.039573,0.033461,0.006112
461,15.36,0.040035,0.033540,0.006495
462,15.40,0.036975,0.031836,0.005139
463,15.43,0.037466,0.032007,0.005460
464,15.46,0.028612,0.025747,0.002865
465,15.50,0.031303,0.027666,0.003637
466,15.53,0.035689,0.031375,0.004314
467,15.56,0.031812,0.027935,0.003876
468,15.60,0.033082,0.028932,0.004150
469,15.63,0.029610,0.026944,0.002666
470,15.66,0.077839,0.063266,0.014573
471,15.70,0.176358,0.137103,0.039254
